Depth,Area_m2
0,4783.55581023544
1,4750.85087786563
2,4567.40454371006
3,4041.52687150578
4,3463.98744619469
5,2919.81210189918
6,2402.08171060763
7,1859.63965053461
8,1360.78864897089
9,832.24819949735
10,0.012218775045767
