Time,Buoydep,Convdep,energy,minT
2018-12-10 15:00:00,0.953506317795388,0.75,73134070.5619904,2.78333333333333
2018-12-10 16:00:00,0.93206754850198,4.45,73952296.9008364,2.84259259259259
2018-12-10 17:00:00,0.955159753008348,4.45,73800116.8891158,2.84259259259259
2018-12-10 18:00:00,0.957716092357732,4.45,73872894.3955867,2.84259259259259
2018-12-10 19:00:00,0.960461300211605,0.75,73801102.9304804,2.82037037037037
2018-12-10 20:00:00,0.953551758891279,2.05,74111413.1357142,2.80555555555556
2018-12-10 21:00:00,0.938956675216196,2.95,74106333.1988055,2.80555555555556
2018-12-10 22:00:00,0.95967435285862,2.95,73879731.8727902,2.82037037037037
2018-12-10 23:00:00,0.951956293108974,0.75,74088893.4500665,2.81296296296296
2018-12-11 00:00:00,0.962498079491044,3.05,73930149.3132326,2.82777777777778
2018-12-11 01:00:00,0.953940154074565,0.75,74007482.7454233,2.81296296296296
2018-12-11 02:00:00,0.954933398651701,2.95,74074763.8069792,2.79074074074074
2018-12-11 03:00:00,0.955537098792201,2.95,74197542.9079294,2.82037037037037
2018-12-11 04:00:00,0.950518080525937,0.75,74051587.8213722,2.79907407407407
2018-12-11 05:00:00,0.957878821913444,2.95,74112656.5381545,2.82037037037037
2018-12-11 06:00:00,0.95262661193306,2.95,74072132.0530296,2.79814814814815
2018-12-11 07:00:00,0.944942841305331,2.95,74059389.8205134,2.80555555555556
2018-12-11 08:00:00,0.945502899023635,3.05,74287787.0353172,2.82037037037037
2018-12-11 09:00:00,0.948434439803431,2.05,74212514.9679912,2.81388888888889
2018-12-11 10:00:00,0.947096269928327,2.95,74145063.1868877,2.81296296296296
2018-12-11 11:00:00,0.947633459351048,2.95,74184370.7996611,2.81296296296296
2018-12-11 12:00:00,0.948293975987086,2.95,74217155.5369406,2.82037037037037
2018-12-11 13:00:00,0.948355435641212,4.45,74370101.208949,2.80555555555556
2018-12-11 14:00:00,0.943831984989983,4.45,74143653.5188502,2.78333333333333
2018-12-11 15:00:00,0.945143260476132,0.75,74081231.3858924,2.77777777777778
2018-12-11 16:00:00,0.944043217587668,4.45,74184131.0360625,2.79074074074074
2018-12-11 17:00:00,0.940331329392325,3.05,74359915.5318066,2.81296296296296
2018-12-11 18:00:00,0.947850776504436,2.95,73968092.1438783,2.77777777777778
2018-12-11 19:00:00,0.948924886493051,0.75,73968881.5823994,2.77777777777778
2018-12-11 20:00:00,0.938360290314999,3.05,74115893.5690864,2.79074074074074
2018-12-11 21:00:00,0.936495725229895,3.05,74143308.7395244,2.79074074074074
2018-12-11 22:00:00,0.948950747630941,2.05,74007782.2782232,2.78518518518519
2018-12-11 23:00:00,0.948271364673992,3.05,74010008.6904706,2.79814814814815
2018-12-12 00:00:00,0.947711010730254,3.05,73978148.839697,2.78518518518519
2018-12-12 01:00:00,0.950794377243649,3.05,73865414.4480939,2.77685185185185
2018-12-12 02:00:00,0.949513998246717,2.05,74037826.62429,2.80555555555556
2018-12-12 03:00:00,0.945867944505042,3.05,73791140.9946776,2.76388888888889
2018-12-12 04:00:00,0.949474974712498,3.05,73800507.2632251,2.77777777777778
2018-12-12 05:00:00,0.941635016732124,1.95,73809706.9412728,2.75740740740741
2018-12-12 06:00:00,0.947974171651196,3.05,73874531.6601915,2.77685185185185
2018-12-12 07:00:00,0.950239343087814,3.05,73887879.0786005,2.77037037037037
2018-12-12 08:00:00,0.951368603620054,0.75,73720573.3562681,2.76388888888889
2018-12-12 09:00:00,0.945867850307204,2.05,73914166.9396727,2.78333333333333
2018-12-12 10:00:00,0.939549051689506,2.95,73896205.5593992,2.7712962962963
2018-12-12 11:00:00,0.94138603981158,2.95,74022160.5407714,2.77777777777778
2018-12-12 12:00:00,0.942102871063409,2.95,74030034.3855757,2.78333333333333
2018-12-12 13:00:00,0.942300603083172,2.05,73978411.4798422,2.7712962962963
2018-12-12 14:00:00,0.949047854471377,2.05,73824940.6095944,2.79074074074074
2018-12-12 15:00:00,0.953527956398898,2.05,73732813.2966088,2.77037037037037
2018-12-12 16:00:00,0.950882885061053,3.05,73735367.8697524,2.76388888888889
2018-12-12 17:00:00,0.948056086178285,0.75,73986031.4575744,2.76388888888889
2018-12-12 18:00:00,0.950827784637402,3.05,73726210.3419714,2.75092592592592
2018-12-12 19:00:00,0.9492150212437,2.95,73733431.4233737,2.75740740740741
2018-12-12 20:00:00,0.955034018158331,0.75,73684199.3761795,2.75740740740741
2018-12-12 21:00:00,0.951469467693945,0.75,73817563.0299828,2.75740740740741
2018-12-12 22:00:00,0.95094232084258,0.75,73753019.5581863,2.75092592592592
2018-12-12 23:00:00,0.956414662445617,0.75,73736057.6372799,2.74351851851852
2018-12-13 00:00:00,0.952971616957782,2.05,73778401.7632787,2.75092592592592
2018-12-13 01:00:00,0.953294506957612,2.95,73725731.4992143,2.75092592592592
2018-12-13 02:00:00,0.958682673490075,0.75,73598288.342094,2.74444444444444
2018-12-13 03:00:00,0.953817705829776,0.75,73714716.6119279,2.75
2018-12-13 04:00:00,0.950091133689876,2.95,73705928.0014114,2.73703703703704
2018-12-13 05:00:00,0.95933202024341,0.75,73628220.9168822,2.73703703703704
2018-12-13 06:00:00,0.954332603911948,2.05,73827099.432536,2.75740740740741
2018-12-13 07:00:00,0.960700198691509,3.05,73524215.7939414,2.73703703703704
2018-12-13 08:00:00,0.96460924352866,0.75,73338415.8689657,2.72962962962963
2018-12-13 09:00:00,0.960020259261486,2.95,73582398.6677042,2.74351851851852
2018-12-13 10:00:00,0.958021805305944,0.75,73508334.4139382,2.74351851851852
