Time,Buoydep,Convdep,energy,minT
2018-12-10T15:00:00Z,0.9535063177953883,0.7500000000000001,94602236.46672934,2.7833333333333323
2018-12-10T16:00:00Z,0.9320675485019796,4.45,95823316.67176534,2.8425925925925934
2018-12-10T17:00:00Z,0.9551597530083483,4.45,95747434.38578166,2.8425925925925934
2018-12-10T18:00:00Z,0.9577160923577318,4.45,95781133.2234263,2.8425925925925943
2018-12-10T19:00:00Z,0.9604613002116047,0.7500000000000001,95744804.4111832,2.8203703703703717
2018-12-10T20:00:00Z,0.9535517588912787,2.0500000000000003,96091283.91847338,2.8055555555555562
2018-12-10T21:00:00Z,0.9389566752161957,2.95,96087920.22798942,2.8055555555555562
2018-12-10T22:00:00Z,0.9596743528586201,2.95,95872621.84749421,2.8203703703703717
2018-12-10T23:00:00Z,0.9519562931089738,0.7500000000000001,96163228.00774293,2.8129629629629638
2018-12-11T00:00:00Z,0.9624980794910443,3.0500000000000003,95930400.07245342,2.8277777777777793
2018-12-11T01:00:00Z,0.9539401540745649,0.7500000000000001,96067624.62636556,2.8129629629629633
2018-12-11T02:00:00Z,0.9549333986517007,2.95,96067904.0185796,2.7907407407407403
2018-12-11T03:00:00Z,0.9555370987922008,2.95,96211185.6322045,2.8203703703703717
2018-12-11T04:00:00Z,0.9505180805259371,0.7500000000000001,96053373.23329294,2.7990740740740745
2018-12-11T05:00:00Z,0.9578788219134443,2.95,96156742.60280389,2.8203703703703713
2018-12-11T06:00:00Z,0.9526266119330598,2.95,96120730.7951248,2.7981481481481483
2018-12-11T07:00:00Z,0.9449428413053311,2.95,96134864.73914847,2.8055555555555562
2018-12-11T08:00:00Z,0.9455028990236346,3.0500000000000003,96365952.19518235,2.8203703703703717
2018-12-11T09:00:00Z,0.9484344398034306,2.0500000000000003,96310184.64516768,2.8138888888888904
2018-12-11T10:00:00Z,0.9470962699283266,2.95,96168206.86760943,2.8129629629629633
2018-12-11T11:00:00Z,0.9476334593510484,2.95,96196371.99313407,2.8129629629629638
2018-12-11T12:00:00Z,0.9482939759870863,2.95,96299927.37627773,2.8203703703703717
2018-12-11T13:00:00Z,0.9483554356412116,4.45,96488183.91994669,2.8055555555555562
2018-12-11T14:00:00Z,0.9438319849899826,4.45,96209685.54589392,2.7833333333333323
2018-12-11T15:00:00Z,0.9451432604761322,0.7500000000000001,96126622.69978376,2.7777777777777772
2018-12-11T16:00:00Z,0.9440432175876683,4.45,96255906.5056162,2.7907407407407403
2018-12-11T17:00:00Z,0.9403313293923248,3.0500000000000003,96427044.21833855,2.8129629629629624
2018-12-11T18:00:00Z,0.9478507765044362,2.95,96012939.60321145,2.7777777777777772
2018-12-11T19:00:00Z,0.9489248864930513,0.7500000000000001,96016781.91491258,2.7777777777777772
2018-12-11T20:00:00Z,0.9383602903149987,3.0500000000000003,96171300.58464046,2.7907407407407403
2018-12-11T21:00:00Z,0.9364957252298954,3.0500000000000003,96221949.72651517,2.7907407407407403
2018-12-11T22:00:00Z,0.9489507476309412,2.0500000000000003,96037891.0501911,2.785185185185185
2018-12-11T23:00:00Z,0.9482713646739921,3.0500000000000003,96069730.29293184,2.7981481481481483
2018-12-12T00:00:00Z,0.9477110107302541,3.0500000000000003,95979000.23141083,2.785185185185185
2018-12-12T01:00:00Z,0.9507943772436488,3.0500000000000003,95911037.60928987,2.776851851851851
2018-12-12T02:00:00Z,0.949513998246717,2.0500000000000003,96063869.33795513,2.8055555555555554
2018-12-12T03:00:00Z,0.9458679445050416,3.0500000000000003,95809720.1875546,2.7638888888888875
2018-12-12T04:00:00Z,0.9494749747124981,3.0500000000000003,95797928.31096944,2.7777777777777772
2018-12-12T05:00:00Z,0.9416350167321244,1.95,95778006.7447715,2.757407407407406
2018-12-12T06:00:00Z,0.9479741716511961,3.0500000000000003,95866055.48881644,2.776851851851851
2018-12-12T07:00:00Z,0.9502393430878138,3.0500000000000003,95928988.113497,2.7703703703703693
2018-12-12T08:00:00Z,0.9513686036200542,0.7500000000000001,95713552.49621256,2.7638888888888875
2018-12-12T09:00:00Z,0.9458678503072042,2.0500000000000003,95952733.48652703,2.7833333333333323
2018-12-12T10:00:00Z,0.9395490516895056,2.95,95871263.12019235,2.7712962962962955
2018-12-12T11:00:00Z,0.9413860398115801,2.95,96077677.37038015,2.7777777777777772
2018-12-12T12:00:00Z,0.9421028710634086,2.95,96067420.78597371,2.7833333333333323
2018-12-12T13:00:00Z,0.9423006030831715,2.0500000000000003,96047693.207052,2.7712962962962955
2018-12-12T14:00:00Z,0.949047854471377,2.0500000000000003,95819018.3218594,2.7907407407407403
2018-12-12T15:00:00Z,0.9535279563988983,2.0500000000000003,95690525.73699436,2.7703703703703693
2018-12-12T16:00:00Z,0.9508828850610528,3.0500000000000003,95673265.87536235,2.7638888888888875
2018-12-12T17:00:00Z,0.9480560861782853,0.7500000000000001,96026722.55244322,2.7638888888888875
2018-12-12T18:00:00Z,0.9508277846374019,3.0500000000000003,95765166.5578693,2.750925925925925
2018-12-12T19:00:00Z,0.9492150212436997,2.95,95753234.58026956,2.757407407407406
2018-12-12T20:00:00Z,0.9550340181583309,0.7500000000000001,95698460.8343513,2.757407407407406
2018-12-12T21:00:00Z,0.9514694676939448,0.7500000000000001,95810099.12830462,2.757407407407406
2018-12-12T22:00:00Z,0.9509423208425803,0.7500000000000001,95763811.90828155,2.750925925925925
2018-12-12T23:00:00Z,0.9564146624456169,0.7500000000000001,95809014.46727107,2.7435185185185174
2018-12-13T00:00:00Z,0.9529716169577821,2.0500000000000003,95832788.7076128,2.750925925925925
